institution_id,name,category,region_id,region_name,city,postcode,founded_year
1,Imperial College London,University,7,Greater London,London,SW15 1LJ,1983
2,University College London,University,7,Greater London,London,SW18 2XD,1877
3,King's College London,University,7,Greater London,London,SW55 1AD,1971
4,London School of Economics,University,7,Greater London,London,SW30 9ZA,1875
5,Queen Mary University of London,University,7,Greater London,London,SW26 9SJ,1963
6,"City, University of London",University,7,Greater London,London,SW76 5AG,1934
7,"Goldsmiths, University of London",University,7,Greater London,Camden,NW55 6LF,1998
8,SOAS University of London,University,7,Greater London,London,SW98 6ED,1875
9,University of Westminster,University,7,Greater London,Westminster,SW13 6QZ,1917
10,University of East London,University,7,Greater London,London,SW6 8XE,1887
11,Middlesex University,University,7,Greater London,London,SW11 9NZ,1916
12,London South Bank University,University,7,Greater London,London,SW74 4DB,1912
13,Kingston University,University,7,Greater London,Croydon,CR30 5DJ,1989
14,University of Roehampton,University,7,Greater London,Bromley,BR49 5TQ,1845
15,University of West London,University,7,Greater London,Ealing,W48 6HL,1861
16,University of Greenwich,University,7,Greater London,Hackney,E88 2ZG,1999
17,University of Oxford,University,8,South East England,Oxford,OX94 4GT,1646
18,Oxford Brookes University,University,8,South East England,Oxford,OX35 9JP,1488
19,University of Reading,University,8,South East England,Reading,RG30 1PR,1834
20,University of Sussex,University,8,South East England,Brighton,BN9 4YP,1888
21,University of Brighton,University,8,South East England,Brighton,BN84 8RT,1874
22,University of Southampton,University,8,South East England,Southampton,SO34 3JX,1856
23,Solent University,University,8,South East England,Southampton,SO34 7YR,1957
24,University of Portsmouth,University,8,South East England,Portsmouth,PO29 3WU,1912
25,University of Kent,University,8,South East England,Canterbury,CT97 1EF,1843
26,Canterbury Christ Church University,University,8,South East England,Canterbury,CT21 7ZD,1980
27,University of Buckingham,University,8,South East England,Milton Keynes,MK49 8WL,1918
28,University of Cambridge,University,6,East of England,Cambridge,CB2 2XL,1666
29,Anglia Ruskin University,University,6,East of England,Cambridge,CB44 2NS,1984
30,University of East Anglia,University,6,East of England,Norwich,NR59 1LW,1860
31,Norwich University of the Arts,University,6,East of England,Norwich,NR65 2NW,1865
32,University of Suffolk,University,6,East of England,Ipswich,IP26 3QG,1975
33,University of Essex,University,6,East of England,Colchester,CO68 1ZP,1958
34,University of Hertfordshire,University,6,East of England,Luton,LU3 2QN,1945
35,University of Bedfordshire,University,6,East of England,Luton,LU8 4YD,1881
36,Anglia Ruskin Peterborough,University,6,East of England,Peterborough,PE94 8DX,1841
37,University of Manchester,University,2,North West England,Manchester,M17 8XG,1852
38,Manchester Metropolitan University,University,2,North West England,Manchester,M68 7HX,1887
39,University of Liverpool,University,2,North West England,Liverpool,L89 4NR,2006
40,Liverpool John Moores University,University,2,North West England,Liverpool,L84 6TW,1991
