record_id,institution_id,year,rating,overall_score,student_satisfaction_pct,graduate_outcome_pct,attendance_rate_pct
1,1,2022,Silver,77,94.4,61.2,
2,1,2023,Silver,69,80.5,84.3,
3,1,2024,Gold,96,79.7,63.4,
4,2,2022,Silver,83,88.0,75.2,
5,2,2023,Bronze,59,84.0,94.6,
6,2,2024,Silver,69,73.5,65.9,
7,3,2022,Silver,76,93.7,68.9,
8,3,2023,Silver,83,85.9,79.3,
9,3,2024,Bronze,48,83.9,72.3,
10,4,2022,Silver,77,81.8,87.9,
11,4,2023,Silver,76,72.3,66.7,
12,4,2024,Gold,95,93.4,81.6,
13,5,2022,Silver,75,75.0,67.6,
14,5,2023,Bronze,47,74.1,85.6,
15,5,2024,Silver,84,83.5,63.2,
16,6,2022,Silver,75,73.4,93.8,
17,6,2023,Silver,67,90.2,83.6,
18,6,2024,Gold,98,76.4,62.8,
19,7,2022,Gold,89,92.8,73.9,
20,7,2023,Silver,68,88.0,63.0,
21,7,2024,Silver,84,86.8,60.1,
22,8,2022,Gold,88,86.9,62.2,
23,8,2023,Silver,73,82.5,84.1,
24,8,2024,Bronze,61,78.4,79.2,
25,9,2022,Bronze,30,84.3,80.3,
26,9,2023,Silver,72,90.0,89.0,
27,9,2024,Gold,87,70.5,61.7,
28,10,2022,Gold,99,73.1,62.4,
29,10,2023,Silver,78,87.8,65.2,
30,10,2024,Silver,70,76.3,67.2,
31,11,2022,Bronze,57,76.2,71.5,
32,11,2023,Silver,66,77.1,82.0,
33,11,2024,Silver,68,72.4,65.8,
34,12,2022,Silver,79,70.9,72.5,
35,12,2023,Gold,93,75.5,94.6,
36,12,2024,Silver,79,89.4,81.7,
37,13,2022,Silver,67,83.9,71.0,
38,13,2023,Silver,67,85.8,94.0,
39,13,2024,Silver,65,81.9,86.1,
40,14,2022,Gold,87,76.3,85.9,
41,14,2023,Silver,76,73.2,92.1,
42,14,2024,Silver,77,75.9,82.9,
43,15,2022,Silver,72,85.8,81.9,
44,15,2023,Silver,72,87.6,60.7,
45,15,2024,Silver,77,72.9,68.2,
46,16,2022,Silver,68,90.6,76.5,
47,16,2023,Bronze,52,74.6,74.2,
48,16,2024,Gold,93,94.5,79.9,
49,17,2022,Silver,67,76.5,65.8,
50,17,2023,Gold,99,93.9,65.7,
51,17,2024,Bronze,63,80.8,73.9,
52,18,2022,Silver,81,94.3,92.1,
53,18,2023,Silver,66,74.5,87.4,
54,18,2024,Silver,71,91.9,89.8,
55,19,2022,Silver,78,75.1,71.2,
56,19,2023,Silver,76,92.5,81.1,
57,19,2024,Bronze,64,94.0,75.2,
58,20,2022,Silver,68,90.2,61.7,
59,20,2023,Bronze,53,85.8,61.3,
60,20,2024,Silver,81,76.9,79.8,
61,21,2022,Silver,71,83.5,74.8,
62,21,2023,Silver,83,90.8,85.4,
63,21,2024,Bronze,30,89.5,65.2,
64,22,2022,Gold,92,82.1,77.2,
65,22,2023,Bronze,55,83.5,60.3,
66,22,2024,Silver,77,80.6,71.0,
67,23,2022,Silver,73,76.8,82.6,
68,23,2023,Silver,69,86.8,71.9,
69,23,2024,Silver,82,78.4,61.9,
70,24,2022,Gold,100,71.9,86.4,
71,24,2023,Silver,66,74.3,85.6,
72,24,2024,Silver,83,87.3,62.7,
73,25,2022,Silver,80,87.4,61.3,
74,25,2023,Gold,94,91.5,76.3,
75,25,2024,Gold,90,84.0,77.8,
76,26,2022,Silver,77,90.1,78.6,
77,26,2023,Silver,80,93.6,80.0,
78,26,2024,Silver,72,85.4,73.9,
79,27,2022,Gold,95,70.3,92.8,
80,27,2023,Silver,77,92.4,82.7,
81,27,2024,Bronze,57,70.5,68.5,
82,28,2022,Silver,65,75.7,80.4,
83,28,2023,Silver,69,71.0,76.1,
84,28,2024,Bronze,53,94.6,76.5,
85,29,2022,Gold,85,73.5,75.8,
86,29,2023,Gold,89,74.0,68.2,
87,29,2024,Silver,74,78.9,64.2,
88,30,2022,Silver,82,95.0,72.5,
89,30,2023,Bronze,61,78.9,66.5,
90,30,2024,Bronze,55,75.9,79.7,
91,31,2022,Silver,81,92.7,93.0,
92,31,2023,Bronze,53,81.3,91.1,
93,31,2024,Silver,83,76.1,85.3,
94,32,2022,Silver,81,75.3,92.1,
95,32,2023,Silver,78,91.9,93.8,
96,32,2024,Gold,100,80.2,81.5,
97,33,2022,Silver,80,90.0,65.4,
98,33,2023,Silver,83,94.1,65.6,
99,33,2024,Bronze,45,94.9,80.5,
100,34,2022,Silver,81,92.7,84.9,
101,34,2023,Silver,74,87.3,72.5,
102,34,2024,Silver,68,76.6,63.8,
103,35,2022,Silver,83,89.3,75.1,
104,35,2023,Silver,71,71.1,60.1,
105,35,2024,Silver,76,89.0,72.1,
106,36,2022,Silver,68,84.1,64.5,
107,36,2023,Gold,91,70.8,65.1,
108,36,2024,Silver,80,83.7,70.2,
109,37,2022,Silver,84,76.9,65.6,
110,37,2023,Gold,97,78.7,66.8,
111,37,2024,Silver,72,84.9,60.7,
112,38,2022,Gold,87,93.0,83.8,
113,38,2023,Silver,79,91.7,72.2,
114,38,2024,Silver,84,87.7,69.4,
115,39,2022,Silver,70,92.6,88.9,
116,39,2023,Silver,83,73.2,86.8,
117,39,2024,Silver,84,71.1,84.5,
118,40,2022,Bronze,46,73.1,91.9,
119,40,2023,Silver,73,89.9,62.4,
120,40,2024,Silver,74,88.6,85.6,
121,41,2022,Silver,71,87.6,76.2,
122,41,2023,Silver,78,75.1,90.6,
123,41,2024,Silver,73,76.0,87.2,
124,42,2022,Gold,95,77.3,92.3,
125,42,2023,Bronze,26,82.3,89.6,
126,42,2024,Silver,76,77.1,66.9,
127,43,2022,Gold,96,85.9,70.8,
128,43,2023,Bronze,55,84.9,85.6,
129,43,2024,Gold,94,85.6,91.2,
130,44,2022,Silver,76,70.3,73.8,
131,44,2023,Gold,86,92.2,64.4,
132,44,2024,Silver,77,91.9,69.3,
133,45,2022,Silver,71,73.7,76.0,
134,45,2023,Gold,98,85.9,70.0,
135,45,2024,Silver,84,87.4,83.3,
136,46,2022,Silver,69,77.2,87.9,
137,46,2023,Bronze,62,93.6,83.1,
138,46,2024,Silver,82,72.1,73.9,
139,47,2022,Gold,86,81.5,68.6,
140,47,2023,Silver,75,88.4,63.4,
141,47,2024,Gold,95,80.2,74.0,
142,48,2022,Silver,81,75.8,72.4,
143,48,2023,Silver,84,85.0,90.7,
144,48,2024,Silver,84,81.9,76.9,
145,49,2022,Silver,82,87.3,70.2,
146,49,2023,Silver,71,71.5,87.2,
147,49,2024,Silver,78,83.7,65.4,
148,50,2022,Bronze,57,75.9,81.3,
149,50,2023,Gold,90,82.4,93.0,
150,50,2024,Silver,75,81.7,85.7,
151,51,2022,Silver,65,71.7,76.9,
152,51,2023,Gold,87,73.8,94.2,
153,51,2024,Silver,78,72.6,91.4,
154,52,2022,Silver,84,87.7,73.5,
155,52,2023,Gold,85,80.0,88.6,
156,52,2024,Silver,79,83.7,60.3,
157,53,2022,Silver,82,84.4,69.9,
158,53,2023,Bronze,63,94.4,66.4,
159,53,2024,Bronze,46,73.7,89.4,
160,54,2022,Silver,81,79.2,87.6,
161,54,2023,Gold,89,81.3,78.7,
162,54,2024,Silver,81,79.7,63.4,
163,55,2022,Bronze,60,94.4,93.5,
164,55,2023,Bronze,53,72.9,70.7,
165,55,2024,Silver,73,77.9,70.6,
166,56,2022,Bronze,49,74.9,94.3,
167,56,2023,Gold,89,72.7,93.7,
168,56,2024,Gold,99,94.0,91.9,
169,57,2022,Gold,96,84.6,82.9,
170,57,2023,Silver,82,72.6,65.3,
171,57,2024,Gold,95,94.4,60.8,
172,58,2022,Silver,67,86.0,75.7,
173,58,2023,Bronze,50,83.9,81.5,
174,58,2024,Silver,73,82.6,80.3,
175,59,2022,Bronze,55,94.9,73.1,
176,59,2023,Silver,80,72.9,68.7,
177,59,2024,Gold,87,71.6,72.6,
178,60,2022,Silver,77,75.4,73.4,
179,60,2023,Silver,65,75.2,83.0,
180,60,2024,Silver,83,82.6,61.5,
181,61,2022,Silver,81,85.7,89.3,
182,61,2023,Silver,77,84.5,67.8,
183,61,2024,Silver,84,90.6,64.5,
184,62,2022,Silver,80,94.5,66.0,
185,62,2023,Silver,68,91.9,93.5,
186,62,2024,Silver,81,85.0,70.3,
187,63,2022,Gold,92,92.5,92.5,
188,63,2023,Silver,66,76.3,92.0,
189,63,2024,Silver,75,89.9,89.6,
190,64,2022,Silver,72,85.0,67.9,
191,64,2023,Silver,77,76.3,94.7,
192,64,2024,Silver,71,88.9,93.0,
193,65,2022,Silver,79,74.9,80.3,
194,65,2023,Bronze,41,81.5,73.0,
195,65,2024,Silver,73,73.2,62.4,
196,66,2022,Silver,66,89.5,60.1,
197,66,2023,Silver,74,70.9,68.6,
198,66,2024,Silver,71,71.1,76.8,
199,67,2022,Bronze,63,73.7,90.9,
200,67,2023,Silver,79,92.8,73.1,
201,67,2024,Silver,75,74.7,77.7,
202,68,2022,Bronze,43,92.6,66.8,
203,68,2023,Gold,91,89.7,72.9,
204,68,2024,Silver,83,89.0,82.0,
205,69,2022,Gold,88,85.3,76.1,
206,69,2023,Silver,79,84.4,73.1,
207,69,2024,Silver,74,90.2,91.9,
208,70,2022,Bronze,49,78.0,81.6,
209,70,2023,Silver,77,93.0,67.1,
210,70,2024,Silver,82,70.3,83.5,
211,71,2022,Silver,79,73.7,66.0,
212,71,2023,Silver,68,89.3,93.8,
213,71,2024,Gold,94,90.7,85.0,
214,72,2022,Silver,72,81.1,87.7,
215,72,2023,Gold,100,81.6,63.9,
216,72,2024,Silver,80,86.3,87.2,
217,73,2022,Silver,69,93.7,65.4,
218,73,2023,Silver,70,72.6,73.4,
219,73,2024,Silver,80,88.8,86.4,
220,74,2022,Silver,83,87.0,61.8,
221,74,2023,Silver,65,82.2,92.1,
222,74,2024,Silver,68,77.3,91.2,
223,75,2022,Silver,68,87.4,84.2,
224,75,2023,Silver,71,87.2,64.6,
225,75,2024,Gold,90,87.1,62.2,
226,76,2022,Gold,96,82.6,94.8,
227,76,2023,Gold,97,71.9,85.9,
228,76,2024,Gold,97,79.8,87.5,
229,77,2022,Silver,65,81.2,68.0,
230,77,2023,Silver,79,88.6,78.3,
231,77,2024,Silver,66,80.5,89.8,
232,78,2022,Gold,89,83.8,65.5,
233,78,2023,Silver,75,89.4,94.2,
